日期,淨值,MA_7,MA_15,MA_30
2022/02/11,9.6,9.43142857142857,9.352666666666666,9.272
2022/02/10,9.69,9.487142857142857,9.38,9.282666666666668
2022/02/09,9.68,9.532857142857143,9.4,9.295
2022/02/08,9.53,9.54857142857143,9.412,9.301666666666668
2022/02/07,9.6,9.572857142857142,9.427333333333333,9.31
2022/02/04,9.53,9.585714285714285,9.440666666666667,9.317666666666666
2022/02/03,9.58,9.60142857142857,9.462666666666667,9.328333333333331
2022/02/02,9.68,9.612857142857141,9.504666666666667,9.345666666666666
2022/02/01,9.6,9.6,9.527333333333333,9.362
2022/01/31,9.5,9.574285714285713,9.540666666666665,9.380333333333335
2022/01/28,9.3,9.54142857142857,9.536666666666667,9.388333333333334
2022/01/27,9.49,9.525714285714285,9.541333333333332,9.4
2022/01/26,9.53,9.525714285714285,9.548,9.413
2022/01/25,9.39,9.498571428571427,9.544666666666666,9.421666666666665
2022/01/24,9.37,9.454285714285714,9.538,9.432333333333332
2022/01/21,9.58,9.45142857142857,9.536666666666665,9.444666666666667
2022/01/20,9.77,9.49,9.542,9.461000000000002
2022/01/19,9.8,9.561428571428573,9.55,9.475
2022/01/18,9.79,9.604285714285712,9.567333333333334,9.489666666666666
2022/01/14,9.95,9.664285714285713,9.590666666666666,9.508999999999999
2022/01/13,10.08,9.762857142857142,9.627333333333333,9.534
2022/01/12,10.09,9.865714285714287,9.661333333333335,9.562000000000001
2022/01/11,9.96,9.92,9.68,9.592333333333332
2022/01/10,9.86,9.932857142857143,9.697333333333335,9.612333333333334
2022/01/07,10.06,9.969999999999999,9.734666666666667,9.637666666666666
2022/01/06,10.03,10.004285714285714,9.783333333333333,9.66
2022/01/05,10.21,10.04142857142857,9.831333333333333,9.686333333333332
2022/01/04,10.29,10.071428571428571,9.882000000000001,9.715000000000002
2022/01/03,10.26,10.095714285714285,9.94,9.742333333333333
2021/12/31,10.31,10.145714285714286,10.002666666666666,9.770333333333333
2021/12/30,10.33,10.212857142857144,10.052666666666669,9.794666666666666
2021/12/29,10.3,10.247142857142858,10.088,9.815
2021/12/28,10.36,10.294285714285715,10.125333333333334,9.837666666666667
2021/12/27,10.3,10.307142857142859,10.159333333333333,9.863333333333333
2021/12/23,10.25,10.301428571428572,10.179333333333334,9.884999999999998
2021/12/22,10.17,10.288571428571428,10.185333333333334,9.906333333333333
2021/12/21,10.05,10.251428571428573,10.182666666666666,9.922
2021/12/20,9.99,10.202857142857143,10.184666666666667,9.932333333333334
2021/12/17,10.03,10.164285714285715,10.196,9.946666666666665
2021/12/16,10.17,10.137142857142859,10.203333333333331,9.969
2021/12/15,10.05,10.101428571428572,10.204666666666666,9.994
2021/12/14,10.15,10.087142857142856,10.200666666666669,10.016
2021/12/13,10.27,10.10142857142857,10.199333333333332,10.040666666666665
2021/12/10,10.27,10.132857142857144,10.2,10.07
2021/12/09,10.31,10.178571428571429,10.2,10.101333333333335
2021/12/08,10.3,10.217142857142857,10.198000000000002,10.125333333333336
2021/12/07,10.27,10.231428571428571,10.196,10.142
2021/12/06,10.06,10.232857142857142,10.175999999999998,10.150666666666668
2021/12/03,10.11,10.227142857142857,10.163333333333334,10.161333333333335
2021/12/02,10.15,10.209999999999999,10.156666666666668,10.168000000000001
2021/12/01,10.27,10.209999999999999,10.163333333333332,10.174333333333331
2021/11/30,10.31,10.209999999999999,10.180666666666667,10.181666666666667
2021/11/29,10.3,10.209999999999999,10.201333333333334,10.193000000000001
2021/11/26,10.29,10.212857142857143,10.218666666666667,10.207333333333334
2021/11/24,10.3,10.247142857142858,10.227333333333336,10.215333333333335
2021/11/23,10.39,10.287142857142857,10.25,10.227333333333332
2021/11/22,10.49,10.335714285714285,10.272666666666668,10.236666666666668
2021/11/19,10.49,10.367142857142857,10.287333333333333,10.243333333333332
2021/11/18,10.48,10.391428571428573,10.301333333333334,10.250666666666666
2021/11/17,10.47,10.415714285714285,10.312000000000001,10.256
2021/11/16,10.46,10.44,10.322666666666667,10.260333333333334
2021/11/15,10.48,10.465714285714286,10.336666666666668,10.266333333333334
2021/11/12,10.5,10.481428571428571,10.366000000000001,10.270999999999999
2021/11/10,10.55,10.49,10.395333333333333,10.279333333333335
2021/11/09,10.56,10.5,10.422666666666668,10.289666666666669
2021/11/08,10.59,10.515714285714285,10.443999999999999,10.303666666666667
2021/11/05,10.58,10.531428571428572,10.462,10.321333333333333
2021/11/04,10.53,10.54142857142857,10.477333333333332,10.339333333333334
2021/11/03,10.43,10.534285714285714,10.486666666666668,10.352666666666668
2021/11/02,10.44,10.525714285714287,10.496,10.361666666666668
2021/10/29,10.37,10.5,10.494666666666667,10.372333333333334
2021/10/28,10.35,10.469999999999999,10.485333333333333,10.379
2021/10/27,10.36,10.437142857142858,10.476666666666667,10.382000000000001
2021/10/26,10.37,10.407142857142857,10.469333333333333,10.385333333333334
2021/10/25,10.31,10.375714285714285,10.458666666666666,10.385333333333334
2021/10/22,10.31,10.358571428571427,10.448666666666666,10.385666666666667
2021/10/21,10.29,10.337142857142856,10.436,10.386333333333333
2021/10/20,10.28,10.324285714285713,10.421333333333333,10.393666666666666
2021/10/19,10.26,10.31142857142857,10.401999999999997,10.398666666666665
2021/10/18,10.2,10.288571428571428,10.377999999999998,10.400333333333332
2021/10/15,10.19,10.262857142857143,10.351333333333335,10.397666666666668
2021/10/14,10.2,10.247142857142856,10.325999999999999,10.394
2021/10/13,10.11,10.218571428571428,10.298,10.387666666666666
2021/10/12,10.09,10.19,10.275333333333332,10.381
2021/10/08,10.15,10.171428571428569,10.255999999999998,10.376
2021/10/07,10.17,10.15857142857143,10.242666666666667,10.368666666666666
2021/10/06,10.03,10.134285714285713,10.221333333333332,10.353333333333332
2021/10/05,10.06,10.115714285714287,10.201333333333334,10.339
2021/10/04,10.07,10.097142857142858,10.181333333333333,10.325333333333333
2021/10/01,10.06,10.09,10.164666666666667,10.311666666666666
2021/09/30,10.12,10.094285714285714,10.152,10.300333333333333
2021/09/29,10.13,10.09142857142857,10.141333333333334,10.288666666666666
2021/09/28,10.16,10.09,10.133333333333333,10.277333333333333
2021/09/27,10.24,10.120000000000001,10.132000000000001,10.267
2021/09/24,10.25,10.147142857142857,10.135333333333334,10.256666666666666
2021/09/23,10.27,10.175714285714287,10.140666666666666,10.246
2021/09/22,10.19,10.194285714285714,10.139999999999999,10.233
2021/09/21,10.18,10.202857142857143,10.144666666666666,10.221333333333332
2021/09/20,10.17,10.208571428571428,10.15,10.212666666666667
2021/09/17,10.28,10.225714285714286,10.158666666666669,10.207333333333333
2021/09/16,10.26,10.228571428571428,10.164666666666667,10.203666666666665
2021/09/15,10.24,10.227142857142857,10.178666666666667,10.2
2021/09/14,10.32,10.234285714285715,10.196,10.198666666666666
2021/09/13,10.29,10.248571428571427,10.210666666666667,10.196
2021/09/10,10.38,10.277142857142858,10.232,10.198333333333332
2021/09/09,10.37,10.305714285714286,10.248666666666667,10.200333333333333
2021/09/08,10.38,10.320000000000002,10.265333333333333,10.203333333333335
2021/09/07,10.38,10.337142857142856,10.28,10.206666666666667
2021/09/03,10.39,10.358571428571429,10.29,10.211
2021/09/02,10.38,10.367142857142857,10.298666666666666,10.217
2021/09/01,10.36,10.377142857142857,10.304666666666668,10.222666666666667
2021/08/31,10.34,10.37142857142857,10.31466666666667,10.227333333333336
2021/08/30,10.35,10.368571428571428,10.326,10.235333333333333
2021/08/27,10.28,10.354285714285714,10.333333333333334,10.241666666666667
2021/08/26,10.29,10.34142857142857,10.334,10.246333333333332
2021/08/25,10.27,10.324285714285713,10.334666666666665,10.249666666666666
2021/08/24,10.24,10.304285714285713,10.334666666666665,10.256666666666666
2021/08/23,10.18,10.278571428571428,10.325333333333333,10.260666666666667
2021/08/20,10.09,10.242857142857144,10.312000000000001,10.261333333333335
2021/08/19,10.05,10.2,10.29,10.261
2021/08/18,10.12,10.177142857142856,10.273333333333333,10.261
2021/08/17,10.11,10.151428571428571,10.255333333333335,10.260333333333334
2021/08/16,10.15,10.134285714285713,10.240000000000002,10.26
2021/08/13,10.26,10.137142857142857,10.231333333333334,10.260666666666667
2021/08/12,10.23,10.144285714285713,10.221333333333332,10.259999999999998
2021/08/11,10.26,10.168571428571429,10.214666666666666,10.259666666666668
2021/08/10,10.29,10.202857142857143,10.211333333333332,10.263
2021/08/09,10.28,10.225714285714286,10.206666666666667,10.266333333333334
2021/08/06,10.31,10.254285714285714,10.208666666666666,10.270999999999999
2021/08/05,10.3,10.275714285714287,10.209333333333332,10.271666666666667
2021/08/04,10.28,10.278571428571427,10.21,10.272333333333334
2021/08/03,10.25,10.281428571428572,10.210666666666667,10.272666666666668
