日期,淨值,漲跌幅(%)
2020/07/28,8.8100,-0.11
2020/07/27,8.8200,0.92
2020/07/24,8.7400,-1.8
2020/07/23,8.9000,0.23
2020/07/22,8.8800,0
2020/07/21,8.8800,1.25
2020/07/20,8.7700,0.46
2020/07/17,8.7300,0.23
2020/07/16,8.7100,-0.23
2020/07/15,8.7300,0.92
2020/07/14,8.6500,-2.15
2020/07/13,8.8400,1.14
2020/07/10,8.7400,-0.34
2020/07/09,8.7700,0.23
2020/07/08,8.7500,0.23
2020/07/07,8.7300,0.23
2020/07/06,8.7100,0.69
2020/07/02,8.6500,1.41
2020/07/01,8.5300,0.83
2020/06/30,8.4600,0.83
2020/06/29,8.3900,-1.18
2020/06/26,8.4900,0.59
2020/06/25,8.4400,-1.29
2020/06/24,8.5500,-0.35
2020/06/22,8.5800,-0.46
2020/06/19,8.6200,0.58
2020/06/18,8.5700,-0.35
2020/06/17,8.6000,0
2020/06/16,8.6000,3.12
2020/06/15,8.3400,-2.23
2020/06/12,8.5300,-0.7
2020/06/11,8.5900,-1.6
2020/06/10,8.7300,-0.11
2020/06/09,8.7400,0.34
2020/06/08,8.7100,0.69
2020/06/05,8.6500,0.82
2020/06/04,8.5800,0.47
2020/06/03,8.5400,1.18
2020/06/02,8.4400,1.08
2020/05/29,8.3500,0.12
2020/05/28,8.3400,1.46
2020/05/27,8.2200,-0.6
2020/05/26,8.2700,1.35
2020/05/22,8.1600,0
2020/05/20,8.1600,0.74
2020/05/19,8.1000,0.37
2020/05/18,8.0700,2.02
2020/05/15,7.9100,0.51
2020/05/14,7.8700,-2.11
2020/05/13,8.0400,-1.11
2020/05/12,8.1300,0.37
2020/05/11,8.1000,0.25
2020/05/08,8.0800,0.62
2020/05/07,8.0300,0.88
2020/05/06,7.9600,0.25
2020/05/05,7.9400,1.93
2020/05/04,7.7900,-2.14
2020/04/30,7.9600,0.38
2020/04/29,7.9300,0.51
2020/04/28,7.8900,0.38
2020/04/27,7.8600,1.55
2020/04/24,7.7400,-0.39
2020/04/23,7.7700,0.65
2020/04/22,7.7200,-0.13
2020/04/21,7.7300,-1.02
2020/04/20,7.8100,-0.51
